#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=124 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:48.12 aq:42.66 tex:9767 mv:3649 misc:128 imb:920 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:48.70 aq:45.20 tex:311 mv:315 misc:254 imb:20 pmb:15 smb:885 d:- ref:0 ;
in:4 out:2 type:P dur:2 cpbdur:2 q:48.66 aq:39.89 tex:609 mv:683 misc:452 imb:59 pmb:53 smb:808 d:- ref:0 ;
in:2 out:3 type:B dur:2 cpbdur:2 q:48.69 aq:45.42 tex:98 mv:117 misc:201 imb:5 pmb:17 smb:898 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:48.67 aq:40.56 tex:159 mv:108 misc:189 imb:2 pmb:14 smb:904 d:- ref:0 ;
in:7 out:5 type:P dur:2 cpbdur:2 q:48.50 aq:43.28 tex:496 mv:693 misc:491 imb:56 pmb:56 smb:808 d:- ref:0 ;
in:5 out:6 type:B dur:2 cpbdur:2 q:48.61 aq:51.00 tex:66 mv:34 misc:172 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:48.55 aq:49.12 tex:21 mv:21 misc:142 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:48.31 aq:45.32 tex:1049 mv:921 misc:550 imb:81 pmb:59 smb:780 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:48.26 aq:41.83 tex:7940 mv:1178 misc:522 imb:223 pmb:42 smb:655 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:48.35 aq:41.71 tex:5984 mv:772 misc:284 imb:199 pmb:19 smb:702 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:52.35 aq:44.66 tex:1180 mv:355 misc:209 imb:111 pmb:6 smb:803 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:51.49 aq:44.16 tex:1345 mv:521 misc:390 imb:89 pmb:39 smb:792 d:- ref:0 ;
in:14 out:13 type:P dur:2 cpbdur:2 q:49.65 aq:38.87 tex:1469 mv:965 misc:606 imb:122 pmb:57 smb:741 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:50.57 aq:50.88 tex:154 mv:304 misc:230 imb:8 pmb:41 smb:871 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:46.21 aq:35.51 tex:4322 mv:1828 misc:866 imb:226 pmb:131 smb:563 d:- ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:47.93 aq:43.17 tex:57 mv:162 misc:205 imb:3 pmb:14 smb:903 d:- ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:48.79 aq:45.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:47.07 aq:43.35 tex:41 mv:51 misc:156 imb:1 pmb:4 smb:915 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:42.88 aq:33.20 tex:12984 mv:2703 misc:817 imb:234 pmb:248 smb:438 d:- ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:44.55 aq:38.86 tex:125 mv:176 misc:227 imb:3 pmb:20 smb:897 d:- ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:45.38 aq:41.83 tex:85 mv:120 misc:171 imb:1 pmb:10 smb:909 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:43.71 aq:39.10 tex:29 mv:3 misc:136 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:45.32 aq:39.42 tex:1297 mv:850 misc:485 imb:57 pmb:62 smb:801 d:- ref:0 ;
in:24 out:24 type:B dur:2 cpbdur:2 q:44.10 aq:45.38 tex:300 mv:354 misc:234 imb:8 pmb:22 smb:890 d:- ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:43.49 aq:40.88 tex:109 mv:255 misc:188 imb:2 pmb:15 smb:903 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:44.71 aq:41.59 tex:86 mv:159 misc:179 imb:3 pmb:11 smb:906 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:44.79 aq:37.86 tex:1604 mv:933 misc:615 imb:59 pmb:77 smb:784 d:- ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:45.05 aq:40.09 tex:239 mv:270 misc:187 imb:5 pmb:13 smb:902 d:- ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:45.19 aq:42.88 tex:88 mv:112 misc:160 imb:1 pmb:6 smb:913 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:44.92 aq:42.34 tex:84 mv:137 misc:171 imb:2 pmb:10 smb:908 d:- ref:0 ;
in:34 out:31 type:P dur:2 cpbdur:2 q:44.53 aq:37.66 tex:1825 mv:930 misc:549 imb:58 pmb:86 smb:776 d:- ref:0 ;
in:32 out:32 type:B dur:2 cpbdur:2 q:44.66 aq:41.08 tex:101 mv:171 misc:200 imb:1 pmb:15 smb:904 d:- ref:0 ;
in:31 out:33 type:b dur:2 cpbdur:2 q:44.72 aq:42.39 tex:131 mv:163 misc:178 imb:2 pmb:9 smb:909 d:- ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:44.60 aq:40.00 tex:0 mv:12 misc:156 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:43.23 aq:36.57 tex:3692 mv:1473 misc:715 imb:111 pmb:111 smb:698 d:- ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:43.88 aq:32.65 tex:223 mv:372 misc:205 imb:4 pmb:22 smb:894 d:- ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:44.21 aq:40.43 tex:53 mv:77 misc:174 imb:1 pmb:8 smb:911 d:- ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:43.56 aq:40.58 tex:173 mv:233 misc:178 imb:5 pmb:10 smb:905 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:42.18 aq:34.70 tex:5447 mv:2039 misc:754 imb:113 pmb:186 smb:621 d:- ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:42.71 aq:30.30 tex:430 mv:379 misc:263 imb:6 pmb:29 smb:885 d:- ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:42.97 aq:39.08 tex:82 mv:177 misc:165 imb:1 pmb:15 smb:904 d:- ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:42.44 aq:39.16 tex:74 mv:283 misc:171 imb:1 pmb:17 smb:902 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:40.95 aq:33.60 tex:7786 mv:1763 misc:795 imb:75 pmb:211 smb:634 d:- ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:41.56 aq:37.95 tex:564 mv:454 misc:230 imb:3 pmb:29 smb:888 d:- ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:41.87 aq:38.00 tex:3 mv:48 misc:173 imb:0 pmb:14 smb:906 d:- ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:41.25 aq:37.44 tex:35 mv:133 misc:168 imb:0 pmb:14 smb:906 d:- ref:0 ;
in:50 out:47 type:P dur:2 cpbdur:2 q:40.12 aq:33.47 tex:8947 mv:2130 misc:755 imb:98 pmb:229 smb:593 d:- ref:0 ;
in:48 out:48 type:B dur:2 cpbdur:2 q:40.53 aq:37.02 tex:368 mv:469 misc:235 imb:4 pmb:30 smb:886 d:- ref:0 ;
in:47 out:49 type:b dur:2 cpbdur:2 q:40.74 aq:37.00 tex:4 mv:49 misc:179 imb:0 pmb:17 smb:903 d:- ref:0 ;
in:49 out:50 type:b dur:2 cpbdur:2 q:40.32 aq:37.69 tex:115 mv:362 misc:187 imb:1 pmb:26 smb:893 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:39.66 aq:32.32 tex:3454 mv:895 misc:675 imb:27 pmb:138 smb:755 d:- ref:0 ;
in:55 out:52 type:P dur:2 cpbdur:2 q:39.58 aq:33.75 tex:6739 mv:1971 misc:698 imb:79 pmb:183 smb:658 d:- ref:0 ;
in:53 out:53 type:B dur:2 cpbdur:2 q:39.62 aq:38.15 tex:737 mv:608 misc:287 imb:5 pmb:44 smb:871 d:- ref:0 ;
in:52 out:54 type:b dur:2 cpbdur:2 q:39.64 aq:37.64 tex:224 mv:400 misc:192 imb:1 pmb:28 smb:891 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:39.60 aq:37.64 tex:270 mv:347 misc:215 imb:2 pmb:28 smb:890 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:39.54 aq:33.12 tex:3580 mv:1264 misc:660 imb:37 pmb:158 smb:725 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:39.45 aq:32.83 tex:4064 mv:1448 misc:656 imb:43 pmb:176 smb:701 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:40.00 aq:33.32 tex:3105 mv:1355 misc:564 imb:41 pmb:137 smb:742 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:39.72 aq:35.38 tex:530 mv:399 misc:215 imb:2 pmb:36 smb:882 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:39.59 aq:36.00 tex:2 mv:57 misc:181 imb:0 pmb:15 smb:905 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:39.86 aq:37.15 tex:210 mv:437 misc:177 imb:2 pmb:26 smb:892 d:- ref:0 ;
